시설종류,수용유형,시설명,도로명주소,지번주소,연락처,위도,경도,데이터기준일자
노인의료복지시설,노인요양시설,임영요양원,강원특별자치도 강릉시 임영로141번길 16 (용강동),,033-646-3040,37.75323676,128.890626,2024-03-12
노인의료복지시설,노인요양시설,실버하우스,강원특별자치도 강릉시 구정면 와천로 102-42,,033-641-8899,37.70269773,128.926025,2024-03-12
노인의료복지시설,노인요양시설,장수마을요양원,강원특별자치도 강릉시 구정면 금평로 340,,033-648-2542,37.69059536,128.899003,2024-03-12
노인의료복지시설,노인요양시설,강동요양원,강원특별자치도 강릉시 강동면 와천로 461-3,,033-648-5577,37.72653206,128.953375,2024-03-12
노인의료복지시설,노인요양시설,율곡요양원,강원특별자치도 강릉시 가작로129번길 6 (교동),,033-655-9020,37.77079444,128.8897395,2024-03-12
노인의료복지시설,노인요양시설,가애노인요양시설,강원특별자치도 강릉시 임영로 173-9 (용강동),,033-647-3789,37.75635587,128.8909948,2024-03-12
노인의료복지시설,노인요양시설,한나시니어 요양원,강원특별자치도 강릉시 사임당로175번길 6 (유천동),,033-645-1300,37.76136494,128.8648498,2024-03-12
노인의료복지시설,노인요양시설,사임당요양원,강원특별자치도 강릉시 신석길 109-12 (신석동),,033-643-7123,37.73137837,128.9248984,2024-03-12
노인의료복지시설,노인요양시설,에벤에셀 요양원,강원특별자치도 강릉시 연곡면 진고개로 2571,,033-662-7284,37.85595913,128.8202564,2024-03-12
노인의료복지시설,노인요양시설,강릉부모사랑,강원특별자치도 강릉시 공제로437번길 9 (홍제동),,033-646-6585,37.74684921,128.8673993,2024-03-12
노인의료복지시설,노인요양시설,우리시니어스요양시설,강원특별자치도 강릉시 경포로100번길 8 (교동),,033-655-8888,37.77382258,128.8849515,2024-03-12
노인의료복지시설,노인요양시설,드림요양원,강원특별자치도 강릉시 유다리길37번길 19 (청량동),,033-645-9001,37.74545725,128.9198577,2024-03-12
노인의료복지시설,노인요양시설,강릉효플러스요양원,강원특별자치도 강릉시 신석길157번길 2 (운산동),,033-647-7588,37.72712767,128.9242305,2024-03-12
노인의료복지시설,노인요양시설,강릉솔향의집,강원특별자치도 강릉시 강동면 오이골말길 58-20,,033-655-0692,37.68382822,129.0025278,2024-03-12
노인의료복지시설,노인요양시설,정한요양원,강원특별자치도 강릉시 강릉대로 501-5 (포남동),,033-653-3047,37.77728817,128.9157648,2024-03-12
노인의료복지시설,노인요양공동생활가정,강릉노인요양공동생활가정,강원특별자치도 강릉시 성덕포남로162번길 6 (포남동),,033-642-8898,37.76700732,128.9111255,2024-03-12
노인의료복지시설,노인요양공동생활가정,사랑방이야기,강원특별자치도 강릉시 구정면 용금정길 34-5,,033-643-8774,37.70565434,128.9121131,2024-03-12
노인의료복지시설,노인요양공동생활가정,강릉무지개마을,강원특별자치도 강릉시 구정면 삼정2길 31-15,,033-642-6770,37.71098183,128.8680902,2024-03-12
노인의료복지시설,노인요양공동생활가정,덕실리요양원,강원특별자치도 강릉시 사천면 덕실리 474번지,,033-644-7703,37.81135419,128.8399453,2024-03-12
노인의료복지시설,노인요양공동생활가정,양지뜰노인요양원,,강원특별자치도 강릉시 유산동 588번지 4호,033-642-9945,37.73800704,128.9033425,2024-03-12
노인의료복지시설,노인요양공동생활가정,노인요양공동생활가정 선한복지센터,강원특별자치도 강릉시 성산면 금산안길 100-6,,033-655-0655,37.73458189,128.8424145,2024-03-12
노인의료복지시설,노인요양공동생활가정,사천요양원,강원특별자치도 강릉시 사천면 덕실리 474번지,,033-644-7703,37.81135419,128.8399453,2024-03-12
노인의료복지시설,노인요양공동생활가정,강릉창해요양원,강원특별자치도 강릉시 성산면 칠봉로 193-2,,033-647-1914,37.70339709,128.8408472,2024-03-12
노인의료복지시설,노인요양공동생활가정,주문진요양원,강원특별자치도 강릉시 주문진읍 연주로 567,,033-662-7676,37.90265581,128.8221015,2024-03-12
노인의료복지시설,노인요양공동생활가정,행복만들기,강원특별자치도 강릉시 구정면 말미길 25,,033-641-1300,37.72630371,128.8742168,2024-03-12
노인의료복지시설,노인요양공동생활가정,한결요양원,강원특별자치도 강릉시 유산골길 20 (유산동),,032-644-3340,37.73882474,128.9018134,2024-03-12
노인의료복지시설,노인요양공동생활가정,강릉참사랑요양원,강원특별자치도 강릉시 왕산면 노추산로 887,,033-563-0214,37.56022799,128.7208377,2024-03-12
노인의료복지시설,노인요양공동생활가정,소돌요양원,강원특별자치도 강릉시 주문진읍 연주로 567,,033-661-1900,37.90265581,128.8221015,2024-03-12
노인의료복지시설,노인요양공동생활가정,벧엘요양원,강원특별자치도 강릉시 연곡면 도방길 75-24,,033-652-0113,37.8485158,128.8416676,2024-03-12
노인의료복지시설,노인요양공동생활가정,포도나무요양원,강원특별자치도 강릉시 공제로359번길 25-5 (홍제동),,033-642-5702,37.74681994,128.8584653,2024-03-12
노인의료복지시설,노인요양공동생활가정,예담노인요양원,강원특별자치도 강릉시 성덕로216번길 14 (두산동),,033-653-6068,37.76096986,128.9299377,2024-03-12
노인의료복지시설,노인요양공동생활가정,나래요양원,강원특별자치도 강릉시 유다리길65번길 17 (청량동),,033-655-5777,37.74541629,128.9231758,2024-03-12
노인의료복지시설,노인요양공동생활가정,예쁜요양원,강원특별자치도 강릉시 성산면 칠봉로 193-2,,033-641-3456,37.70339709,128.8408472,2024-03-12
노인의료복지시설,노인요양공동생활가정,다솔요양원,강원특별자치도 강릉시 모산로 244 (장현동),,033-641-2852,37.73284927,128.8999532,2024-03-12
노인의료복지시설,노인요양공동생활가정,이든요양원,강원특별자치도 강릉시 모산로209번길 35-21 (장현동),,033-641-7222,37.7270244,128.9013221,2024-03-12
노인의료복지시설,노인요양공동생활가정,연담요양원,강원특별자치도 강릉시 모산로209번길 35-17 (장현동),,033-647-0099,37.72726755,128.9016224,2024-03-12
노인의료복지시설,노인요양공동생활가정,은평요양원,강원특별자치도 강릉시 주문진읍 금용길 113-45,,033-661-2788,37.87406179,128.8107624,2024-03-12
노인의료복지시설,노인요양공동생활가정,연화실버요양원,강원특별자치도 강릉시 주문진읍 향호길 34-24,,033-661-9695,37.90278039,128.8033077,2024-03-12
노인의료복지시설,노인요양공동생활가정,강릉사랑요양원,강원특별자치도 강릉시 구정면 범일로 151-8,,033-646-9621,37.71052861,128.8994011,2024-03-12
노인의료복지시설,노인요양공동생활가정,푸른내곡요양원,강원특별자치도 강릉시 남부로18번길 73 (내곡동),,033-644-1814,37.73345159,128.8835556,2024-03-12
재가노인복지시설,재가노인복지시설,강남노인복지센터,"강원특별자치도 강릉시 용지각길 20, 3층 (포남동, 성지빌딩)",,033-643-5689,37.76136102,128.9058048,2024-03-12
재가노인복지시설,재가노인복지시설,행복마을,강원특별자치도 강릉시 강변로 278 (노암동),,033-645-3004,37.74939089,128.8987816,2024-03-12
재가노인복지시설,재가노인복지시설,유경노인복지센터,강원특별자치도 강릉시 주문진읍 신리천로 222-16,,033-662-0882,37.87873745,128.8084682,2024-03-12
재가노인복지시설,재가노인복지시설,강릉재가노인종합지원센터,강원특별자치도 강릉시 성덕포남로162번길 6 (포남동),,033-642-8898,37.76700732,128.9111255,2024-03-12
재가노인복지시설,재가노인복지시설,교항리 노인복지센터,,강원특별자치도 강릉시 주문진읍 교항리 585번지 10호,033-662-3033,37.87516279,37.87516279,2024-03-12
재가노인복지시설,재가노인복지시설,로뎀노인주간보호센터,강원특별자치도 강릉시 주문진읍 웃사다리1길 12,,033-662-1892,37.88657586,128.8225495,2024-03-12
재가노인복지시설,재가노인복지시설,두리노인복지센터,"강원특별자치도 강릉시 회산로383번길 7, 2층 (회산동)",,033-647-5333,37.74182641,128.8682259,2024-03-12
재가노인복지시설,재가노인복지시설,솔향복지센터,강원특별자치도 강릉시 연당길 7-6 (포남동),,033-651-8998,37.77987342,128.9125869,2024-03-12
재가노인복지시설,재가노인복지시설,강릉자비노인복지센터,강원특별자치도 강릉시 경강로2267번길 19 (포남동),,033-655-8785,37.76686574,128.9076444,2024-03-12
재가노인복지시설,재가노인복지시설,갈바리노인복지센터1,강원특별자치도 강릉시 사임당로107번길 86 (홍제동),,033-644-3477,37.75779305,128.8597742,2024-03-12
재가노인복지시설,재가노인복지시설,새봄주간보호센터,강원특별자치도 강릉시 남부로215번길 24 (노암동),,033-651-0056,37.74621871,128.9028052,2024-03-12
재가노인복지시설,재가노인복지시설,강릉재활주간보호센터,"강원특별자치도 강릉시 성덕포남로213번길 12-6, 201, 202호 (포남동)",,033-653-8709,37.76977236,128.9050632,2024-03-12
재가노인복지시설,재가노인복지시설,벧엘주간보호센터,강원특별자치도 강릉시 연곡면 도방길 75-24,,033-652-0113,37.8485158,128.8416676,2024-03-12
재가노인복지시설,재가노인복지시설,민들레노인복지센터,"강원특별자치도 강릉시 경강로2223번길 15 (포남동, 세화상가아파트)",,033-646-3011,37.7636379,128.9049856,2024-03-12
재가노인복지시설,재가노인복지시설,한마음방문요양센터,강원특별자치도 강릉시 강변로 308 (노암동),,033-643-2003,37.75119672,128.9017808,2024-03-12
재가노인복지시설,재가노인복지시설,착한사랑재가복지센터,강원특별자치도 강릉시 남산초교길 112 (내곡동),,033-641-8882,37.73788568,128.8880849,2024-03-12
재가노인복지시설,재가노인복지시설,강릉365주간보호센터,강원특별자치도 강릉시 주문진읍 교항안길 23,,033-661-3650,37.88441084,128.8204979,2024-03-12
재가노인복지시설,재가노인복지시설,예담노인복지센터,강원특별자치도 강릉시 성덕로216번길 14 (두산동),,033-647-6067,37.76096986,128.9299377,2024-03-12
재가노인복지시설,재가노인복지시설,소망재가복지센터,강원특별자치도 강릉시 경강로 2274 (포남동),,033-643-0691,37.76602137,128.9104636,2024-03-12
재가노인복지시설,재가노인복지시설,JS통합재가복지센터,"강원특별자치도 강릉시 강변로 304-1, 3층 (노암동)",,033-652-2555,37.75107972,128.9015454,2024-03-12
재가노인복지시설,재가노인복지시설,민들레재가복지센터,"강원특별자치도 강릉시 경강로2224번길 11, 1층 101호 (포남동)",,033-643-5024,37.76204533,128.9075005,2024-03-12
재가노인복지시설,재가노인복지시설,행복나눔협동조합,강원특별자치도 강릉시 남구길17번길 25 (포남동),,033-648-8988,37.76295194,128.9037801,2024-03-12
재가노인복지시설,재가노인복지시설,서연재가요양센터,강원특별자치도 강릉시 강중길 6 (입암동),,070-4150-9003,37.75263171,128.9057372,2024-03-12
재가노인복지시설,재가노인복지시설,효드림재가복지센터,강원특별자치도 강릉시 강변로126번길 6 (내곡동),,033-646-0170,37.74497965,128.8824043,2024-03-12
재가노인복지시설,재가노인복지시설,에쉐르재가복지센터,"강원특별자치도 강릉시 강릉대로204번길 6, 2층 (임당동)",,033-655-8254,37.75785598,128.8934777,2024-03-12
재가노인복지시설,재가노인복지시설,은영재활주간보호센터,강원특별자치도 강릉시 경포로100번길 20-1 (교동),,033-645-7573,37.77437768,128.8865323,2024-03-12
재가노인복지시설,재가노인복지시설,온누리 주야간보호센터,강원특별자치도 강릉시 경강로1928번길 11 (홍제동),,033-642-7738,37.74710754,128.8801018,2024-03-12
재가노인복지시설,재가노인복지시설,한나시니어 복지센터,강원특별자치도 강릉시 사임당로175번길 6 (유천동),,033-645-1300,37.76136494,128.8648498,2024-03-12
재가노인복지시설,재가노인복지시설,혜성재가복지센터,"강원특별자치도 강릉시 경강로 2238-1, 2층 (포남동)",,033-653-3931,37.76369309,128.9077879,2024-03-12
재가노인복지시설,재가노인복지시설,주영노인복지센터,"강원특별자치도 강릉시 하평2길 6, 2층 203호 (포남동)",,033-653-5440,37.77077696,128.9125968,2024-03-12
재가노인복지시설,재가노인복지시설,선한재가복지센터,강원특별자치도 강릉시 성산면 금산안길 100-6,,033-655-0655,37.73458189,128.8424145,2024-03-12
재가노인복지시설,재가노인복지시설,은평재가노인복지센터,강원특별자치도 강릉시 주문진읍 금용길 113-45,,033-661-2788,37.87406179,128.8107624,2024-03-12
재가노인복지시설,재가노인복지시설,들국화재가복지센터,"강원특별자치도 강릉시 강릉대로 414, 2층 (포남동)",,033-646-9006,37.77080521,128.9101619,2024-03-12
재가노인복지시설,재가노인복지시설,강릉재가복지센터,"강원특별자치도 강릉시 하평3길 38, 1층 (포남동)",,033-652-4692,37.77234433,128.9153466,2024-03-12
재가노인복지시설,재가노인복지시설,강릉부모사랑 재활복지센터,강원특별자치도 강릉시 공제로437번길 9 (홍제동),,033-645-6585,37.74684921,128.8673993,2024-03-12
재가노인복지시설,재가노인복지시설,금강재가복지센터,"강원특별자치도 강릉시 옥천로 48, 101호 (옥천동, 동부시장)",,033-642-7869,37.76006572,128.9006624,2024-03-12
재가노인복지시설,재가노인복지시설,에이스의료기,강원특별자치도 강릉시 주문진읍 주문로 39-2,,033-662-1245,37.88754463,128.8254193,2024-03-12
재가노인복지시설,재가노인복지시설,부영의료기,"강원특별자치도 강릉시 경강로 2251-1, 7층 (포남동, 나이아스빌딩)",,033-647-3114,37.76488754,128.9084589,2024-03-12
재가노인복지시설,재가노인복지시설,들국화재가복지센터2,강원특별자치도 강릉시 임영로 58 (노암동),,033-647-1560,37.7475174,128.8970879,2024-03-12
재가노인복지시설,재가노인복지시설,하슬라재가방문요양센터,"강원특별자치도 강릉시 노가니길 9, 2층 (노암동)",,033-641-9713,37.74931738,128.9000896,2024-03-12
재가노인복지시설,재가노인복지시설,강릉효플러스재가복지센터,강원특별자치도 강릉시 신석길157번길 2 (운산동),,033-647-7588,37.72712767,128.9242305,2024-03-12
재가노인복지시설,재가노인복지시설,주문진등대재가복지센터,강원특별자치도 강릉시 주문진읍 등대길 2,,033-662-3135,37.89620096,128.8313416,2024-03-12
재가노인복지시설,재가노인복지시설,강릉누나재가복지센터,강원특별자치도 강릉시 옥천로 17-1 (옥천동),,033-647-7415,37.75754801,128.9028638,2024-03-12
재가노인복지시설,재가노인복지시설,그린재가방문간호센터,강원특별자치도 강릉시 성덕포남로213번길 6 (포남동),,033-651-6112,37.76969092,128.9057206,2024-03-12
재가노인복지시설,재가노인복지시설,은혜재가복지센터,강원특별자치도 강릉시 월대산로 15 (입암동),,033-652-3200,37.75960492,128.9120987,2024-03-12
재가노인복지시설,재가노인복지시설,강릉노인돌봄,강원특별자치도 강릉시 강릉대로419번길 22 (포남동),,033-647-4141,37.77293923,128.9085208,2024-03-12
재가노인복지시설,재가노인복지시설,하주재가노인복지시설,강원특별자치도 강릉시 강릉대로 180 (교동),,033-641-8829,37.75731784,128.8903405,2024-03-12
재가노인복지시설,재가노인복지시설,오라의료기,강원특별자치도 강릉시 강릉대로 414 (포남동),,033-652-1129,37.77080521,128.9101619,2024-03-12
재가노인복지시설,재가노인복지시설,허브재가복지센터,강원특별자치도 강릉시 수문길19번옆길 11 (옥천동),,033-645-9294,37.75589527,128.9017907,2024-03-12
재가노인복지시설,재가노인복지시설,사랑채움재가복지센터,강원특별자치도 강릉시 진재골길29번길 27-17 (노암동),,033-641-8869,37.73799057,128.891167,2024-03-12
재가노인복지시설,재가노인복지시설,서로사랑재가장기요양기관,강원특별자치도 강릉시 주문진읍 연주로 577,,033-662-2121,37.90340719,128.8220027,2024-03-12
재가노인복지시설,재가노인복지시설,효자손재가복지센터,강원특별자치도 강릉시 성덕포남로153번길 32 (포남동),,033-646-7300,37.76402999,128.9085842,2024-03-12
재가노인복지시설,재가노인복지시설,영성재가복지센터,강원특별자치도 강릉시 화부산로 139 (교동),,033-653-0898,37.7657872,128.8929993,2024-03-12
재가노인복지시설,재가노인복지시설,우리누리노인복지센터,강원특별자치도 강릉시 성덕포남로 21-5 (입암동),,033-652-5265,37.75727852,128.9214767,2024-03-12
재가노인복지시설,재가노인복지시설,고은맘방문요양센터,강원특별자치도 강릉시 강릉대로228번길 7-1 (옥천동),,033-641-2487,37.75817541,128.8959263,2024-03-12
재가노인복지시설,재가노인복지시설,정한방문요양센터,"강원특별자치도 강릉시 강릉대로 501-5, 2층 (포남동)",,033-641-9047,37.77728817,128.9157648,2024-03-12
재가노인복지시설,재가노인복지시설,늘좋은방문요양재가센터,"강원특별자치도 강릉시 사천면 본동길 6, 2층",,033-646-9995,37.82313054,128.8498217,2024-03-12
재가노인복지시설,재가노인복지시설,해람재가방문요양센터,"강원특별자치도 강릉시 산양길 3, 1층 (포남동)",,033-653-3412,37.77674631,128.9155161,2024-03-12
재가노인복지시설,재가노인복지시설,세바노인복지센터,강원특별자치도 강릉시 남부로17번길 23 (내곡동),,033-641-9903,37.74205614,128.8814055,2024-03-12
재가노인복지시설,재가노인복지시설,한빛재가복지센터,강원특별자치도 강릉시 주문진읍 항구2길 11,,033-662-2692,37.89393892,128.8283439,2024-03-12
재가노인복지시설,재가노인복지시설,다온재가복지센터,"강원특별자치도 강릉시 남산초교길11번길 9, 1층 (내곡동)",,033-642-0441,37.74672463,128.8910257,2024-03-12
재가노인복지시설,재가노인복지시설,나눔재가장기요양기관,강원특별자치도 강릉시 하평5길 9 (포남동),,033-641-5001,37.7708246,128.9176567,2024-03-12
재가노인복지시설,재가노인복지시설,정순화재가복지센터,강원특별자치도 강릉시 경강로 2209 (포남동),,033-642-2003,37.76193068,128.9052999,2024-03-12
재가노인복지시설,재가노인복지시설,박정자재가복지센터,"강원특별자치도 강릉시 임영로155번길 6, 2층 17호 (용강동)",,033-642-9491,37.75509423,128.8907988,2024-03-12
재가노인복지시설,재가노인복지시설,희망재가요양센터,강원특별자치도 강릉시 강중길 30 (입암동),,033-648-1002,37.75376839,128.9077796,2024-03-12
재가노인복지시설,재가노인복지시설,주문진재가장기요양기관,강원특별자치도 강릉시 주문진읍 주문로 97,,033-662-0998,37.89270771,128.8266069,2024-03-12
재가노인복지시설,재가노인복지시설,사랑뜰재가방문요양센터,강원특별자치도 강릉시 율곡로 2953 (교동),,033-646-3476,37.76634559,128.8912076,2024-03-12
재가노인복지시설,재가노인복지시설,사랑천사재가장기요양기관,강원특별자치도 강릉시 남강초교2길 25 (포남동),,033-653-8284,37.7689281,128.9183351,2024-03-12
재가노인복지시설,재가노인복지시설,동행재가복지센터,강원특별자치도 강릉시 주문진읍 신리천로 87,,033-662-7003,37.88234376,128.8218673,2024-03-12
재가노인복지시설,재가노인복지시설,누리재가복지센터,강원특별자치도 강릉시 연곡면 진고개로 2726-12,,033-662-2171,37.85830513,128.8369438,2024-03-12
재가장기요양기관,재가장기요양기관,따슴재가요양기관 유한회사,"강원특별자치도 강릉시 용지로96번길 17, 1층 3호 (포남동)",,033-642-1509,37.76004686,128.9070859,2024-03-12
재가장기요양기관,재가장기요양기관,좋은복지센터,강원특별자치도 강릉시 유산골길 36 (유산동),,033-642-1488,37.73805563,128.9032229,2024-03-12
재가장기요양기관,재가장기요양기관,강릉사랑재가복지센타,강원특별자치도 강릉시 하평4길 36 (포남동),,033-651-3777,37.77254179,128.9157068,2024-03-12
재가장기요양기관,재가장기요양기관,사랑방재가복지센터,"강원특별자치도 강릉시 강릉대로 399, 3층 (포남동)",,033-653-8003,37.77011063,128.9088967,2024-03-12
재가장기요양기관,재가장기요양기관,햇살장기요양센터,"강원특별자치도 강릉시 경강로 2197, A동 202호 (옥천동)",,033-655-6307,37.76113755,128.9044605,2024-03-12
재가장기요양기관,재가장기요양기관,정한방문요양센터Ⅱ,강원특별자치도 강릉시 강릉대로 501-5 (포남동),,033-655-1140,37.77728817,128.9157648,2024-03-12
재가장기요양기관,재가장기요양기관,온누리방문요양센터,강원특별자치도 강릉시 주문진읍 주문북로 9-1,,033-662-0907,37.89578588,128.8312244,2024-03-12
재가장기요양기관,재가장기요양기관,진선미재가장기요양기관,강원특별자치도 강릉시 주문진읍 교항원길 39-2,,033-662-0001,37.88508166,128.8232518,2024-03-12
재가장기요양기관,재가장기요양기관,(I)에이플러스홈 재가복지센터,강원특별자치도 강릉시 위촌길 35 (홍제동),,033-643-1919,37.75803278,128.8620035,2024-03-12
재가장기요양기관,재가장기요양기관,누가노인복지센터,강원특별자치도 강릉시 옛강일길 61 (교동),,033-643-4363,37.76446375,128.891262,2024-03-12
재가장기요양기관,재가장기요양기관,강릉제일노인복지센터,"강원특별자치도 강릉시 남구길17번길 2, 3층 (포남동)",,033-651-6699,37.76463334,128.9055197,2024-03-12
재가장기요양기관,재가장기요양기관,천사재가방문센터,"강원특별자치도 강릉시 경강로 2234, 5층 (포남동)",,033-641-8090,37.76343154,128.9075622,2024-03-12
재가장기요양기관,재가장기요양기관,효사랑복지센터,강원특별자치도 강릉시 박월길 139-1 (박월동),,033-642-1412,37.72982013,128.9070723,2024-03-12
재가장기요양기관,재가장기요양기관,실버벨재가방문센터,"강원특별자치도 강릉시 성덕포남로153번길 43, 2층 (포남동)",,070-8744-4360,37.76314139,128.9079563,2024-03-12
